
Gdrive of all :  https://drive.google.com/open?id=1neKBKIxLu9Rxn5M2UU8sMtYlHYH3JjrE


JupyterHub
Home
rpothiappan621
Info
Video Links
Video Downloads
Grades
Schedule
Lectures will be distributed every week as a set of 4 hour long videos. The links will be posted here as they are uploaded.

Video links below

Date	Event	Youtube Link
Monday 20-Apr-2020 9:30 am	2.4.4 GridSearchCV	https://youtu.be/cWqE82yQi1Y
Monday 20-Apr-2020 9:30 am	2.4.5 Comparing Two Models	https://youtu.be/rZ8XGPm-i1o
Monday 20-Apr-2020 9:30 am	2.5.1 Imputation	https://youtu.be/vJ3WBCW2sas
Monday 20-Apr-2020 9:30 am	2.5.2 Categorical Data	https://youtu.be/qOAoV8HK8e0
Monday 20-Apr-2020 9:30 am	2.6.1 GridsearchCV and Pipelines 1	https://youtu.be/c8ZJMXM6vvo
Monday 20-Apr-2020 9:30 am	2.6.2 GridsearchCV and Pipelines 2	https://youtu.be/mqnG1yANXvo
Monday 20-Apr-2020 9:30 am	2.6.3 RandomizedSearchCV	https://youtu.be/BXzf0gJuV4w
Monday 27-Apr-2020 9:30 am	3.1.1 Feature Engineering and Extraction	https://youtu.be/kHDRaKe2B5A
Monday 27-Apr-2020 9:30 am	3.1.2 Feature Transformation	https://youtu.be/YAJsJNS3DAA
Monday 27-Apr-2020 9:30 am	3.1.3 Curse of Dimensionality	https://youtu.be/HvG45qVJM84
Monday 27-Apr-2020 9:30 am	3.1.4 Regularization	https://youtu.be/ArJqhJ415d4
Monday 27-Apr-2020 9:30 am	3.1.5 Multicollinearity and PCA	https://youtu.be/8eBKta-D334
Monday 27-Apr-2020 9:30 am	3.1.6 Ensemble Models	https://youtu.be/oUOi5T1b_iU
Monday 27-Apr-2020 9:30 am	3.2.1 Bias and Variance	https://youtu.be/-ZLg6Zp9HHg
Monday 27-Apr-2020 9:30 am	3.2.2 Learning Curves	https://youtu.be/KB4fPj68Rbo
Monday 27-Apr-2020 9:30 am	3.3.1 Intro KNN	https://youtu.be/EV6xlHdTaEY
Monday 27-Apr-2020 9:30 am	3.3.2 KNN Bias and Variance	https://youtu.be/AXbhiyWJZdw
Monday 27-Apr-2020 9:30 am	3.3.3 KNN Time Complexity	https://youtu.be/XleyueB7jXU
Monday 27-Apr-2020 9:30 am	3.3.4 KD Trees and Weights	https://youtu.be/UV1WeqUFPE8
Monday 27-Apr-2020 9:30 am	3.4.1 Intro to NLP	https://youtu.be/w3HtykbMcqk
Monday 27-Apr-2020 9:30 am	3.4.2 Spacy	https://youtu.be/7nojkNN0EME
Monday 27-Apr-2020 9:30 am	3.4.3 Obtaining a Corpus	https://youtu.be/4mYBqqbW408
Monday 27-Apr-2020 9:30 am	3.4.4 Bag of Words Model	https://youtu.be/7bKNknkmIJI
Monday 27-Apr-2020 9:30 am	3.4.5 Hashing Vectorizer	https://youtu.be/_wPHgQhiMVY
Monday 27-Apr-2020 9:30 am	3.4.6 TF-IDF	https://youtu.be/kv9cE-uOnis
Monday 27-Apr-2020 9:30 am	3.4.7 Improving Signal	https://youtu.be/UR4JcVOBiAI
Monday 27-Apr-2020 9:30 am	3.4.8 N-grams and Similarity	https://youtu.be/tuwCNPEFRDs
Monday 27-Apr-2020 9:30 am	3.4.9 Word Usage Classifier	https://youtu.be/FNU4dNeKrHo
Monday 27-Apr-2020 9:30 am	3.4.10 Exercise I	https://youtu.be/kAZuP3efPbg
Monday 27-Apr-2020 9:30 am	3.4.11 Exercise II	https://youtu.be/MkpFJkSrC2o
Monday 27-Apr-2020 9:30 am	3.4.12 Exercise III and IV	https://youtu.be/Uw1_iZgihC0
Monday 4-May-2020 9:30 am	4.1.1 Intro to Decision Trees	https://youtu.be/4cIr8W9tXD8
Monday 4-May-2020 9:30 am	4.1.2 Tree Error Metrics	https://youtu.be/Pv8bnN3E4xA
Monday 4-May-2020 9:30 am	4.1.3 Trees for Regression	https://youtu.be/LvUazyMSRFM
Monday 4-May-2020 9:30 am	4.1.4 Training Trees and Hyperparameters	https://youtu.be/nC-pHG_hgdY
Monday 4-May-2020 9:30 am	4.1.5 Geometric Interpretation and Time Complexity	https://youtu.be/l23BnV-4Xwc
Monday 4-May-2020 9:30 am	4.1.6 Time Complexity Continued	https://youtu.be/oD_INvReM_I
Monday 4-May-2020 9:30 am	4.1.7 Random Forests	https://youtu.be/JUzss0-pvz8
Monday 4-May-2020 9:30 am	4.1.8 Extreme Random Forests	https://youtu.be/GLjopN8Lw94
Monday 4-May-2020 9:30 am	4.1.9 Gradient Boosting Trees I	https://youtu.be/KJtV7fTrFH4
Monday 4-May-2020 9:30 am	4.1.10 Gradient Boosting Trees II	https://youtu.be/E2R4D2Gc4x4
Monday 4-May-2020 9:30 am	4.1.11 Feature Importance	https://youtu.be/WDLvgw-Znmg
Monday 4-May-2020 9:30 am	4.1.12 Exercises	https://youtu.be/7q3pk2VcDFQ
Monday 11-May-2020 9:30 am	5.1.1 Intro to SVM	https://youtu.be/GxSSq1B-BHg
Monday 11-May-2020 9:30 am	5.1.2 Largest Margin Classifier	https://youtu.be/EK-69gK8y9E
Monday 11-May-2020 9:30 am	5.1.3 Soft Margin Classifier	https://youtu.be/QT-Flust1Hc
Monday 11-May-2020 9:30 am	5.1.4 SVM Kernels	https://youtu.be/VQWkkPV1Q_Q
Monday 11-May-2020 9:30 am	5.1.5 SVM vs Logistic Regression	https://youtu.be/4G7uEZCAr2U
Monday 11-May-2020 9:30 am	5.1.6 SVM Regression	https://youtu.be/xp8TJgzgWp0
Monday 11-May-2020 9:30 am	5.1.7 SVM Lagrangian Dual	https://youtu.be/defq3yJ8cyw
Monday 11-May-2020 9:30 am	5.1.8 Kernel Trick	https://youtu.be/YcRcxm4LSqg
Monday 11-May-2020 9:30 am	5.1.9 SVM Time Complexity and Multiclass	https://youtu.be/FR5D4A3Nn0c
Monday 11-May-2020 9:30 am	5.1.10 SVM Tuning Kernels Exercise Part I	https://youtu.be/MggSYvtMcLQ
Monday 11-May-2020 9:30 am	5.1.11 SVM Tuning Kernels Exercise Part II	https://youtu.be/tvWb6XObsFg
Monday 11-May-2020 9:30 am	5.1.12 SVM Kernel Approximations	https://youtu.be/A3HPwA0IWIM
Monday 11-May-2020 9:30 am	5.1.13 SVM Online Learning	https://youtu.be/bgzt8UL8x4Y
Monday 11-May-2020 9:30 am	5.1.14 SVM Online Learning Pipeline	https://youtu.be/E1RoFHjJRDc
Monday 11-May-2020 9:30 am	5.2.1 Intro to Clustering	https://youtu.be/HktZtB7Te0c
Monday 11-May-2020 9:30 am	5.2.2 Metrics for Clustering	https://youtu.be/kWsylUt8LxA
Monday 11-May-2020 9:30 am	5.2.3 KMeans Clustering	https://youtu.be/_OKUAiC9FLY
Monday 11-May-2020 9:30 am	5.2.4 Elbow Plots	https://youtu.be/J_jH7cXGUSQ
Monday 11-May-2020 9:30 am	5.2.5 Gaussian Mixture Models	https://youtu.be/WwDiKfHW52U
Monday 11-May-2020 9:30 am	5.2.6 Choosing Cluster Based on Silhouette	https://youtu.be/Gj4HHh4dDEk
Monday 11-May-2020 9:30 am	5.2.7 GMM Choosing Number of Components	https://youtu.be/QO3F4lBs4m4
Monday 18-May-2020 9:30 am	6.1.1 Intro to Time Series	https://youtu.be/BvDcWoLnWFk
Monday 18-May-2020 9:30 am	6.1.2 Crossvalidation in Time Series	https://youtu.be/ZOJAof-3YYA
Monday 18-May-2020 9:30 am	6.1.3 Stationary Signal	https://youtu.be/WytJdsQBeos
Monday 18-May-2020 9:30 am	6.1.4 Modeling Drift	https://youtu.be/53FLb9usJBk
